Week,Date,Team,home,Opp,0-19 FGA,0-19 FGM,20-29 FGA,20-29 FGM,30-39 FGA,30-39 FGM,40-49 FGA,40-49 FGM,50+ FGA,50+ FGM,Kicking Totals FGA,Kicking Totals FGM,Kicking Totals FG%,Kicking Totals XPA,Kicking Totals XPM,Kicking Totals XP%,Kickoffs KO,Kickoffs KOYds,Kickoffs TB,Kickoffs TB%,Kickoffs KOAvg,Snap Counts OffSnp,Snap Counts Off%,Snap Counts STSnp,Snap Counts ST%,Player,Position,Year,Passing Cmp,Passing Att,Passing Cmp%,Passing Yds,Passing TD,Passing Int,Passing Y/A,Passing AY/A,Passing Rate,Passing Sk,Punting Pnt,Punting Yds,Punting Y/P,Punting RetYds,Punting NetYds,Punting NY/P,Punting TB,Punting TB%,Punting Pnt20,Punting In20%,Punting Blck,Fumbles Fmb,Fumbles FL,Fumbles FF,Fumbles FR,Fumbles FRTD,Rushing Att,Rushing Yds,Rushing TD,Rushing Y/A,Receiving Tgt,Receiving Rec,Receiving Yds,Receiving TD,Receiving Ctch%,Receiving Y/Tgt,Win,Team Score,Opp Score
4,2005-10-02,PHI,1,KAN,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,David Akers,K,2005,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,1,37,31
5,2005-10-09,PHI,1,DAL,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,David Akers,K,2005,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,10,33
7,2005-10-23,PHI,0,SDG,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,David Akers,K,2005,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,1,20,17
8,2005-10-30,PHI,1,DEN,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,David Akers,K,2005,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,21,49
9,2005-11-06,PHI,1,WAS,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0,1,1,100.0,1,1,100.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,David Akers,K,2005,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,10,17
10,2005-11-14,PHI,0,DAL,0,0.0,1,1.0,0,0.0,1,1.0,1,0.0,3,2,66.7,2,2,100.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,David Akers,K,2005,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,20,21
11,2005-11-20,PHI,1,NYG,0,0.0,1,1.0,1,0.0,0,0.0,0,0.0,2,1,50.0,2,2,100.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,David Akers,K,2005,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,17,27
12,2005-11-27,PHI,0,GNB,0,0.0,0,0.0,3,3.0,1,1.0,0,0.0,4,4,100.0,1,1,100.0,6,363.0,0,0.0,61.0,0,0.0,0,0.0,David Akers,K,2005,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,1,19,14
13,2005-12-05,PHI,0,SEA,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,David Akers,K,2005,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,0,42
14,2005-12-11,PHI,0,NYG,0,0.0,0,0.0,1,1.0,2,1.0,1,1.0,4,3,75.0,2,2,100.0,6,379.0,1,16.7,63.0,0,0.0,0,0.0,David Akers,K,2005,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,23,26
15,2005-12-18,PHI,1,STL,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0,1,1,100.0,2,2,100.0,4,275.0,1,25.0,69.0,0,0.0,0,0.0,David Akers,K,2005,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,1,17,16
16,2005-12-24,PHI,1,ARI,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,3,3,100.0,4,222.0,0,0.0,56.0,0,0.0,0,0.0,David Akers,K,2005,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,21,27
17,2006-01-01,PHI,0,WAS,0,0.0,0,0.0,1,1.0,1,1.0,0,0.0,2,2,100.0,2,2,100.0,5,315.0,0,0.0,63.0,0,0.0,0,0.0,David Akers,K,2005,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,20,31
1,2006-09-10,PHI,1,HOU,0,0.0,0,0.0,0,0.0,0,0.0,3,3.0,1,1,100.0,3,3,100.0,5,347.0,0,0.0,69.0,0,0.0,0,0.0,David Akers,K,2006,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,1,24,10
