Season,Team,Conf,Class,Pos,G,Receiving Rec,Receiving Yds,Receiving Y/R,Receiving TD,Receiving Y/G,Rushing Att,Rushing Yds,Rushing Y/A,Rushing TD,Rushing Y/G,Scrimmage Plays,Scrimmage Yds,Scrimmage Avg,Scrimmage TD,Awards,Player,Tackles Solo,Tackles Ast,Tackles Comb,Tackles TFL,Tackles Sk,Def Interceptions Int,Def Interceptions Yds,Def Interceptions IntTD,Def Interceptions PD,Fumbles FR,Fumbles Yds,Fumbles FRTD,Fumbles FF
2017*,West Virginia,Big 12,JR,TE,12,1,1,1.0,0,0.1,0,0,,0,0.0,1,1,1.0,0,,Trevon Wesco,,,,,,,,,,,,,
2018*,West Virginia,Big 12,SR,TE,12,26,366,14.1,1,30.5,1,3,3.0,0,0.3,27,369,13.7,1,,Trevon Wesco,,,,,,,,,,,,,
2015*,LSU,SEC,FR,TE,12,0,0,,0,0.0,0,0,,0,0.0,0,0,,0,,Foster Moreau,,,,,,,,,,,,,
2016*,LSU,SEC,SO,TE,11,6,79,13.2,1,7.2,0,0,,0,0.0,6,79,13.2,1,,Foster Moreau,,,,,,,,,,,,,
2017*,LSU,SEC,JR,TE,13,24,278,11.6,3,21.4,0,0,,0,0.0,24,278,11.6,3,,Foster Moreau,,,,,,,,,,,,,
2018*,LSU,SEC,SR,TE,13,22,272,12.4,2,20.9,0,0,,0,0.0,22,272,12.4,2,,Foster Moreau,,,,,,,,,,,,,
2017*,Stanford,Pac-12,SO,TE,14,23,414,18.0,5,29.6,0,0,,0,0.0,23,414,18.0,5,,Kaden Smith,,,,,,,,,,,,,
2018*,Stanford,Pac-12,JR,TE,10,47,635,13.5,2,63.5,0,0,,0,0.0,47,635,13.5,2,,Kaden Smith,,,,,,,,,,,,,
2016*,Georgia,SEC,FR,TE,13,29,361,12.4,3,27.8,0,0,,0,0.0,29,361,12.4,3,,Isaac Nauta,,,,,,,,,,,,,
2017*,Georgia,SEC,SO,TE,15,9,114,12.7,2,7.6,0,0,,0,0.0,9,114,12.7,2,,Isaac Nauta,,,,,,,,,,,,,
2018*,Georgia,SEC,JR,TE,14,30,430,14.3,3,30.7,0,31,,1,2.2,30,461,15.4,4,,Isaac Nauta,,,,,,,,,,,,,
2015,Boston College,ACC,FR,TE,12,5,68,13.6,0,5.7,0,0,,0,0.0,5,68,13.6,0,,Tommy Sweeney,,,,,,,,,,,,,
2016*,Boston College,ACC,SO,TE,13,26,353,13.6,3,27.2,0,0,,0,0.0,26,353,13.6,3,,Tommy Sweeney,,,,,,,,,,,,,
2017*,Boston College,ACC,JR,TE,13,36,512,14.2,4,39.4,0,0,,0,0.0,36,512,14.2,4,,Tommy Sweeney,,,,,,,,,,,,,
2018,Boston College,ACC,SR,TE,12,32,348,10.9,3,29.0,0,0,,0,0.0,32,348,10.9,3,,Tommy Sweeney,,,,,,,,,,,,,
2015*,Notre Dame,Ind,FR,TE,13,13,190,14.6,0,14.6,0,0,,0,0.0,13,190,14.6,0,,Aliz̩ Mack,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,Aliz̩ Mack,,,,,,,,,,,,,
2017*,Notre Dame,Ind,JR,TE,10,19,166,8.7,1,16.6,0,0,,0,0.0,19,166,8.7,1,,Aliz̩ Mack,,,,,,,,,,,,,
2018*,Notre Dame,Ind,SR,TE,12,36,360,10.0,3,30.0,0,0,,0,0.0,36,360,10.0,3,,Aliz̩ Mack,,,,,,,,,,,,,
2016,UCLA,Pac-12,FR,TE,12,16,220,13.8,0,18.3,0,0,,0,0.0,16,220,13.8,0,,Caleb Wilson,,,,,,,,,,,,,
2017*,UCLA,Pac-12,SO,TE,5,38,489,12.9,1,97.8,0,0,,0,0.0,38,489,12.9,1,,Caleb Wilson,,,,,,,,,,,,,
