Position,Overall,Player,Team (Bye),Avg Pick,High,Low,Std Dev,% Drafted
DST14,199,Seattle Seahawks,SEA,418.9,135,480,120.89,20%
DST15,200,Green Bay Packers,GB,424.17,105,480,117.28,18%
WR70,201,Adam Thielen,CAR,430.31,120,480,116.77,15%
K15,202,Tyler Bass,BUF,431.61,130,480,108.37,16%
TE18,203,Hunter Henry,NE,432.02,113,480,115.18,14%
TE19,204,Isaiah Likely,BAL,435.61,126,480,110.11,14%
RB67,205,Kyle Monangai,CHI,437.2,93,480,112.87,12%
RB68,206,Elijah Mitchell,KC,437.47,151,480,106.12,13%
RB69,207,Jarquez Hunter,LAR,437.82,113,480,108.59,13%
RB70,208,Justice Hill,BAL,443.15,140,480,100.0,12%
RB71,209,Kenneth Gainwell,PIT,445.26,147,480,96.54,11%
QB20,210,J.J. McCarthy,MIN,445.65,38,480,100.17,10%
WR71,211,Alec Pierce,IND,445.71,132,480,97.76,10%
RB72,212,Antonio Gibson,NE,449.14,147,480,91.12,10%
RB73,213,Woody Marks,HOU,451.56,133,480,90.9,8%
QB21,214,Bryce Young,CAR,452.25,60,480,89.08,8%
TE20,215,Pat Freiermuth,PIT,453.32,132,480,87.12,8%
TE21,216,Zach Ertz,WAS,454.06,138,480,85.65,8%
QB22,217,Anthony Richardson Sr.,IND,455.17,68,480,87.01,7%
WR72,218,Dontayvion Wicks,GB,456.9,112,480,81.75,7%
WR73,219,Diontae Johnson,CLE,458.23,114,480,81.25,6%
K16,220,Matt Gay,WAS,458.39,120,480,77.78,7%
WR74,221,Jalen Coker,CAR,458.49,135,480,79.03,6%
RB74,222,Devin Singletary,NYG,458.51,150,480,76.96,7%
DST16,223,Cleveland Browns,CLE,459.81,127,480,75.46,6%
WR75,224,Jaylin Noel,HOU,460.36,121,480,76.2,6%
WR76,225,Elic Ayomanor,TEN,460.77,134,480,75.77,6%
RB75,226,Jordan James,SF,461.52,153,480,71.71,6%
TE22,227,Terrance Ferguson,LAR,462.24,102,480,73.72,5%
WR77,228,Joshua Palmer,BUF,463.58,139,480,68.84,5%
QB23,229,Matthew Stafford,LAR,464.03,40,480,68.46,5%
QB24,230,Cameron Ward,TEN,464.4,66,480,70.45,4%
WR78,231,Isaiah Bond,,465.51,125,480,65.13,4%
WR79,232,Xavier Legette,CAR,466.44,152,480,62.11,4%
RB76,233,Raheem Mostert,LV,466.83,137,480,61.79,4%
DST17,234,New York Giants,NYG,466.89,130,480,61.66,4%
DST18,235,San Francisco 49ers,SF,467.35,131,480,60.72,4%
QB25,236,Tua Tagovailoa,MIA,467.45,59,480,61.57,4%
RB77,237,Sean Tucker,TB,468.35,134,480,59.7,3%
WR80,238,Wan'Dale Robinson,NYG,468.43,153,480,57.69,3%
RB78,239,Sincere McCormick,LV,468.99,144,480,56.31,3%
K17,240,Younghoe Koo,ATL,469.7,174,480,51.47,4%
RB79,241,Damien Martinez,SEA,469.82,174,480,52.01,3%
RB80,242,Gus Edwards,,470.71,158,480,51.21,3%
RB81,243,Miles Sanders,DAL,470.81,157,480,50.76,3%
RB82,244,Keaton Mitchell,BAL,471.08,175,480,49.05,3%
RB83,245,Brashard Smith,KC,471.22,139,480,49.98,3%
K18,246,Tyler Loop,BAL,471.35,139,480,49.25,3%
K19,247,Will Reichard,MIN,471.75,149,480,49.44,2%
TE23,248,Tyler Higbee,LAR,472.08,149,480,48.05,2%
QB26,249,Michael Penix Jr.,ATL,472.28,37,480,48.58,2%
TE24,250,Mike Gesicki,CIN,472.35,141,480,47.74,2%
RB84,251,Trevor Etienne,CAR,472.96,116,480,43.94,2%
RB85,252,Will Shipley,PHI,473.3,156,480,43.15,2%
WR81,253,Pat Bryant,DEN,473.47,161,480,42.21,2%
DST19,254,Dallas Cowboys,DAL,473.61,71,480,41.78,2%
RB86,255,Kimani Vidal,LAC,473.85,158,480,41.34,2%
TE25,256,Brenton Strange,JAC,473.89,129,480,42.66,2%
TE26,257,Cade Otton,TB,474.11,149,480,41.16,2%
WR82,258,Calvin Austin III,PIT,474.27,162,480,40.07,2%
WR83,259,Adonai Mitchell,IND,474.68,165,480,38.76,1%
WR84,260,Michael Wilson,ARI,474.7,158,480,38.58,1%
WR85,261,DeMario Douglas,NE,474.74,155,480,38.38,1%
WR86,262,Andrei Iosivas,CIN,475.16,174,480,37.01,1%
WR87,263,Jalen Tolbert,DAL,475.68,167,480,34.85,1%
QB27,264,Geno Smith,LV,475.85,67,480,36.04,1%
WR88,265,Tank Dell,HOU,475.88,154,480,35.45,1%
RB87,266,Khalil Herbert,IND,476.04,213,480,31.91,1%
QB28,267,Sam Darnold,SEA,476.05,56,480,34.67,1%
TE27,268,Cole Kmet,CHI,476.07,179,480,31.74,1%
TE28,269,Mason Taylor,NYJ,476.2,168,480,32.6,1%
RB88,270,Cam Akers,,476.22,166,480,32.62,1%
DST20,271,Tampa Bay Buccaneers,TB,476.4,169,480,31.17,1%
WR89,272,Kyle Williams,,476.42,148,480,31.16,1%
TE29,273,Elijah Arroyo,SEA,476.75,155,480,29.99,1%
WR90,274,Xavier Restrepo,TEN,476.75,183,480,29.73,1%
WR91,275,Darius Slayton,NYG,476.8,193,480,29.29,1%
WR92,276,Jalen Royals,KC,476.82,181,480,29.18,1%
