,Name,POS,Age,HT,WT,Exp,College,Team
,Raheem Blackshear3,RB,26,"5' 9""",190 lbs,3,Virginia Tech,CAR
,Rico Dowdle,RB,26,"6' 0""",215 lbs,5,South Carolina,CAR
,Trevor Etienne,RB,20,"5' 9""",205 lbs,R,Georgia,CAR
,Chuba Hubbard30,RB,25,"6' 1""",210 lbs,4,Oklahoma State,CAR
,Kay'Ron Lynch-Adams,RB,--,"5' 10""",215 lbs,R,Michigan State,CAR
,Dan Chisena88,WR,28,"6' 3""",202 lbs,4,Penn State,CAR
,Jalen Coker18,WR,23,"6' 3""",213 lbs,R,Holy Cross,CAR
,Jacolby George,WR,22,"6' 0""",176 lbs,R,Miami,CAR
,Jimmy Horn Jr.,WR,22,"5' 10""",170 lbs,R,Colorado,CAR
,Kobe Hudson,WR,--,"6' 1""",200 lbs,R,UCF,CAR
,Xavier Legette17,WR,24,"6' 3""",227 lbs,R,South Carolina,CAR
,Tetairoa McMillan,WR,22,"6' 4""",212 lbs,R,Arizona,CAR
,David Moore83,WR,30,"6' 0""",220 lbs,6,East Central (OK),CAR
,Moose Muhammad III,WR,--,"6' 1""",195 lbs,R,Texas A&M,CAR
,Hunter Renfrow,WR,29,"5' 10""",185 lbs,5,Clemson,CAR
,Adam Thielen19,WR,34,"6' 2""",195 lbs,11,Minnesota State,CAR
,Corey Thornton,WR,--,"6' 1""",195 lbs,R,Louisville,CAR
,Brycen Tremayne,WR,25,"6' 4""",212 lbs,1,Stanford,CAR
,Dominique Dafney46,TE,27,"6' 3""",235 lbs,2,Indiana State,CAR
,Mitchell Evans,TE,22,"6' 5""",260 lbs,R,Notre Dame,CAR
,James Mitchell,TE,25,"6' 4""",249 lbs,3,Virginia Tech,CAR
,Bryce Pierre,TE,--,"6' 5""",255 lbs,R,UCLA,CAR
,Ja'Tavion Sanders0,TE,22,"6' 4""",252 lbs,R,Texas,CAR
,Tommy Tremble82,TE,24,"6' 4""",250 lbs,4,Notre Dame,CAR
,Austin Corbett63,C,29,"6' 4""",305 lbs,7,Nevada,CAR
,Ja'Tyre Carter65,G,26,"6' 3""",311 lbs,3,Southern,CAR
,Brady Christensen70,G,28,"6' 6""",300 lbs,4,BYU,CAR
,Robert Hunt50,G,28,"6' 6""",323 lbs,5,Louisiana,CAR
,Damien Lewis68,G,28,"6' 2""",327 lbs,5,LSU,CAR
,Cade Mays64,G,26,"6' 6""",325 lbs,3,Tennessee,CAR
,Michael Tarquin,G,--,"6' 6""",317 lbs,R,Oklahoma,CAR
,Chandler Zavala62,G,26,"6' 3""",322 lbs,2,NC State,CAR
,Luke Kandra,OL,--,"6' 4""",323 lbs,R,Cincinnati,CAR
,Ikem Ekwonu79,OT,24,"6' 4""",320 lbs,3,NC State,CAR
,Jarrett Kingston61,OT,25,"6' 4""",305 lbs,R,USC,CAR
,Taylor Moton72,OT,30,"6' 5""",325 lbs,8,Western Michigan,CAR
,Yosh Nijman77,OT,29,"6' 7""",314 lbs,5,Virginia Tech,CAR
,Brandon Walton73,OT,27,"6' 5""",300 lbs,3,Florida Atlantic,CAR
,Tyson Bagent17,QB,24,"6' 3""",213 lbs,2,Shepherd,CHI
,Case Keenum,QB,37,"6' 1""",215 lbs,13,Houston,CHI
,Austin Reed16,QB,25,"6' 1""",220 lbs,R,Western Kentucky,CHI
,Caleb Williams18,QB,23,"6' 1""",215 lbs,R,USC,CHI
,Deion Hankins,RB,--,"6' 0""",225 lbs,R,Texas State,CHI
,Travis Homer20,RB,26,"5' 10""",202 lbs,6,Miami,CHI
,Roschon Johnson23,RB,24,"6' 0""",225 lbs,2,Texas,CHI
,Kyle Monangai,RB,22,"5' 9""",209 lbs,R,Rutgers,CHI
,D'Andre Swift4,RB,26,"5' 9""",215 lbs,5,Georgia,CHI
,Ian Wheeler33,RB,23,"5' 11""",205 lbs,R,Howard,CHI
,Maurice Alexander1,WR,28,"5' 11""",180 lbs,1,Florida International,CHI
,Miles Boykin,WR,28,"6' 4""",222 lbs,7,Notre Dame,CHI
,Luther Burden III,WR,21,"5' 11""",208 lbs,R,Missouri,CHI
,Devin Duvernay,WR,27,"5' 11""",202 lbs,6,Texas,CHI
,John Jackson III82,WR,25,"6' 1""",215 lbs,R,Nevada,CHI
,DJ Moore2,WR,28,"5' 11""",210 lbs,7,Maryland,CHI
,Rome Odunze15,WR,22,"6' 3""",215 lbs,R,Washington,CHI
,JP Richardson,WR,--,"6' 0""",195 lbs,R,TCU,CHI
,Tyler Scott10,WR,23,"5' 11""",185 lbs,2,Cincinnati,CHI
,Samori Toure83,WR,27,"6' 1""",191 lbs,3,Nebraska,CHI
,Olamide Zaccheaus,WR,27,"5' 8""",193 lbs,7,Virginia,CHI
,Reggie Brown,TE,--,"6' 3""",245 lbs,R,Tulane,CHI
,Stephen Carlson88,TE,28,"6' 4""",240 lbs,3,Princeton,CHI
,Cole Kmet85,TE,26,"6' 6""",260 lbs,5,Notre Dame,CHI
,Colston Loveland,TE,21,"6' 5""",245 lbs,R,Michigan,CHI
,Jordan Murray,TE,25,"6' 5""",240 lbs,1,Hawai'i,CHI
,Durham Smythe,TE,29,"6' 6""",246 lbs,7,Notre Dame,CHI
,Joel Wilson86,TE,24,"6' 4""",250 lbs,1,Central Michigan,CHI
,Ryan Bates71,C,28,"6' 4""",302 lbs,6,Penn State,CHI
,Drew Dalman67,C,26,"6' 3""",305 lbs,4,Stanford,CHI
,Doug Kramer Jr.68,C,26,"6' 2""",300 lbs,3,Illinois,CHI
,Ricky Stromberg67,C,24,"6' 4""",313 lbs,2,Arkansas,CHI
,Theo Benedet62,G,23,"6' 7""",305 lbs,R,British Columbia,CHI
,Chris Glaser63,G,25,"6' 4""",300 lbs,2,Virginia,CHI
,Jonah Jackson,G,28,"6' 4""",315 lbs,5,Ohio State,CHI
,Jordan McFadden71,G,25,"6' 2""",303 lbs,2,Clemson,CHI
,Bill Murray60,G,27,"6' 4""",307 lbs,1,William & Mary,CHI
,Joe Thuney,G,32,"6' 5""",304 lbs,9,NC State,CHI
,Kiran Amegadjie72,OT,23,"6' 5""",326 lbs,R,Yale,CHI
,Braxton Jones70,OT,26,"6' 5""",310 lbs,3,Southern Utah,CHI
,Joshua Miles,OT,29,"6' 5""",325 lbs,4,Morgan State,CHI
,Luke Newman,OT,23,"6' 4""",315 lbs,R,Michigan State,CHI
,Ozzy Trapilo,OT,23,"6' 8""",309 lbs,R,Boston College,CHI
,Darnell Wright58,OT,23,"6' 6""",333 lbs,2,Tennessee,CHI
,Jake Browning6,QB,29,"6' 2""",209 lbs,2,Washington,CIN
,Joe Burrow9,QB,28,"6' 4""",215 lbs,5,LSU,CIN
,Payton Thorne,QB,23,"6' 2""",203 lbs,R,Auburn,CIN
,Logan Woodside,QB,30,"6' 1""",210 lbs,5,Toledo,CIN
,Gary Brightwell44,RB,27,"6' 1""",218 lbs,4,Arizona,CIN
,Tahj Brooks,RB,23,"5' 10""",230 lbs,R,Texas Tech,CIN
,Chase Brown30,RB,25,"5' 10""",211 lbs,2,Illinois,CIN
,Quali Conley,RB,--,"5' 10""",209 lbs,R,Arizona,CIN
,Kendall Milton36,RB,23,"6' 1""",230 lbs,R,Georgia,CIN
,Zack Moss31,RB,27,"5' 10""",215 lbs,5,Utah,CIN
,Samaje Perine,RB,29,"5' 10""",236 lbs,8,Oklahoma,CIN
,Cole Burgess17,WR,25,"6' 1""",198 lbs,R,Cortland,CIN
,Jermaine Burton81,WR,23,"6' 0""",200 lbs,R,Alabama,CIN
,Ja'Marr Chase1,WR,25,"6' 0""",201 lbs,4,LSU,CIN
,Tee Higgins5,WR,26,"6' 4""",219 lbs,5,Clemson,CIN
,Andrei Iosivas80,WR,25,"6' 3""",205 lbs,2,Princeton,CIN
,Charlie Jones15,WR,26,"6' 0""",183 lbs,2,Purdue,CIN
,Jamoi Mayes,WR,--,"5' 11""",205 lbs,R,Cincinnati,CIN
,Jordan Moore,WR,23,"6' 0""",195 lbs,R,Duke,CIN
,Rashod Owens,WR,--,"6' 2""",230 lbs,R,Oklahoma State,CIN
,Kendric Pryor19,WR,27,"5' 11""",189 lbs,2,Wisconsin,CIN
,Mitchell Tinsley,WR,25,"6' 1""",205 lbs,2,Penn State,CIN
,Isaiah Williams18,WR,24,"5' 10""",185 lbs,R,Illinois,CIN
,Erick All Jr.83,TE,24,"6' 5""",253 lbs,R,Iowa,CIN
,Mike Gesicki88,TE,29,"6' 6""",252 lbs,7,Penn State,CIN
,Cam Grandy85,TE,25,"6' 5""",253 lbs,R,Illinois State,CIN
,Tanner Hudson87,TE,30,"6' 5""",239 lbs,5,Southern Arkansas,CIN
,Tanner McLachlan84,TE,26,"6' 5""",244 lbs,R,Arizona,CIN
,Drew Sample89,TE,29,"6' 5""",255 lbs,6,Washington,CIN
,Kole Taylor,TE,--,"6' 7""",255 lbs,R,West Virginia,CIN
,Ted Karras64,C,32,"6' 4""",310 lbs,9,Illinois,CIN
,Matt Lee62,C,23,"6' 4""",301 lbs,R,Miami,CIN
,Seth McLaughlin,C,--,"6' 4""",305 lbs,R,Ohio State,CIN
,Dylan Fairchild,G,22,"6' 5""",315 lbs,R,Georgia,CIN
,Cody Ford61,G,28,"6' 3""",329 lbs,6,Oklahoma,CIN
,Jaxson Kirkland60,G,26,"6' 7""",328 lbs,1,Washington,CIN
,Tashawn Manning66,G,26,"6' 4""",340 lbs,1,Kentucky,CIN
,Lucas Patrick,G,31,"6' 3""",313 lbs,8,Duke,CIN
,Jalen Rivers,G,22,"6' 5""",325 lbs,R,Miami,CIN
,Cordell Volson67,G,26,"6' 6""",315 lbs,3,North Dakota State,CIN
,Orlando Brown Jr.75,OT,29,"6' 8""",345 lbs,7,Oklahoma,CIN
,Devin Cochran76,OT,26,"6' 7""",330 lbs,2,Georgia Tech,CIN
,Andrew Coker79,OT,24,"6' 7""",315 lbs,R,TCU,CIN
,Caleb Etienne,OT,--,"6' 8""",320 lbs,R,BYU,CIN
,Amarius Mims71,OT,22,"6' 8""",340 lbs,R,Georgia,CIN
,Andrew Stueber73,OT,25,"6' 7""",338 lbs,1,Michigan,CIN
,Joe Flacco15,QB,40,"6' 6""",230 lbs,16,Delaware,CLE
,Dillon Gabriel5,QB,24,"6' 0""",200 lbs,R,Oregon,CLE
,Kenny Pickett,QB,26,"6' 3""",220 lbs,3,Pittsburgh,CLE
,Shedeur Sanders12,QB,23,"6' 2""",215 lbs,R,Colorado,CLE
,Deshaun Watson4,QB,29,"6' 3""",223 lbs,8,Clemson,CLE
,Jerome Ford34,RB,25,"5' 10""",210 lbs,3,Cincinnati,CLE
,Quinshon Judkins10,RB,21,"6' 0""",219 lbs,R,Ohio State,CLE
,Ahmani Marshall,RB,--,"6' 2""",225 lbs,R,App State,CLE
,Dylan Sampson22,RB,20,"5' 11""",201 lbs,R,Tennessee,CLE
,Pierre Strong Jr.20,RB,26,"5' 11""",215 lbs,3,South Dakota State,CLE
,Troy Hairston36,FB,26,"5' 11""",245 lbs,3,Central Michigan,CLE
,David Bell18,WR,24,"6' 1""",212 lbs,3,Purdue,CLE
,DeAndre Carter,WR,32,"5' 8""",190 lbs,7,Sacramento State,CLE
,Kaden Davis89,WR,26,"6' 1""",193 lbs,1,--,CLE
,Luke Floriea,WR,--,"5' 10""",173 lbs,R,Kent State,CLE
,Jerry Jeudy3,WR,26,"6' 1""",195 lbs,5,Alabama,CLE
,Diontae Johnson,WR,28,"5' 10""",183 lbs,6,Toledo,CLE
,Kisean Johnson,WR,--,"6' 1""",216 lbs,R,Western Kentucky,CLE
,Gage Larvadain,WR,--,"5' 9""",180 lbs,R,South Carolina,CLE
,Cade McDonald,WR,--,"5' 11""",200 lbs,R,Miami (OH),CLE
,Jamari Thrash80,WR,24,"6' 0""",190 lbs,R,Louisville,CLE
,Cedric Tillman19,WR,25,"6' 3""",215 lbs,2,Tennessee,CLE
,Michael Woods II81,WR,25,"6' 1""",204 lbs,2,Oklahoma,CLE
,Brenden Bates82,TE,25,"6' 5""",255 lbs,R,Kentucky,CLE
,Harold Fannin Jr.88,TE,20,"6' 4""",230 lbs,R,Bowling Green,CLE
,Tre' McKitty87,TE,26,"6' 4""",246 lbs,4,Georgia,CLE
,David Njoku85,TE,28,"6' 4""",246 lbs,8,Miami,CLE
,Blake Whiteheart86,TE,25,"6' 4""",250 lbs,2,Wake Forest,CLE
,Ethan Pocic55,C,29,"6' 6""",320 lbs,8,LSU,CLE
,Luke Wypler56,C,24,"6' 3""",303 lbs,2,Ohio State,CLE
,Joel Bitonio75,G,33,"6' 4""",320 lbs,11,Nevada,CLE
,Javion Cohen67,G,22,"6' 4""",322 lbs,R,Miami,CLE
,Teven Jenkins,G,27,"6' 6""",321 lbs,4,Oklahoma State,CLE
,Brady Latham,G,24,"6' 5""",312 lbs,R,Arkansas,CLE
,Wyatt Teller77,G,30,"6' 4""",315 lbs,7,Virginia Tech,CLE
,Zak Zinter70,G,24,"6' 6""",310 lbs,R,Michigan,CLE
,Jason Ivey,OL,--,"6' 5""",285 lbs,R,North Carolina A&T,CLE
