,Name,POS,Age,HT,WT,Exp,College,Team
,James Hudson III,OT,26,"6' 5""",313 lbs,4,Cincinnati,NYG
,Evan Neal73,OT,24,"6' 7""",340 lbs,3,Alabama,NYG
,Braylen Nelson,OT,--,"6' 6""",320 lbs,R,Fresno State,NYG
,Andrew Thomas78,OT,26,"6' 5""",315 lbs,5,Georgia,NYG
,Brady Cook,QB,23,"6' 2""",215 lbs,R,Missouri,NYJ
,Justin Fields2,QB,26,"6' 3""",227 lbs,4,Ohio State,NYJ
,Adrian Martinez15,QB,25,"6' 2""",220 lbs,1,Kansas State,NYJ
,Tyrod Taylor2,QB,35,"6' 1""",217 lbs,14,Virginia Tech,NYJ
,Braelon Allen0,RB,21,"6' 1""",235 lbs,R,Wisconsin,NYJ
,Isaiah Davis32,RB,23,"6' 1""",220 lbs,R,South Dakota State,NYJ
,Donovan Edwards,RB,--,"6' 1""",212 lbs,R,Michigan,NYJ
,Zach Evans38,RB,23,"5' 11""",202 lbs,2,Ole Miss,NYJ
,Breece Hall20,RB,23,"6' 1""",220 lbs,3,Iowa State,NYJ
,Kene Nwangwu34,RB,27,"6' 1""",213 lbs,4,Iowa State,NYJ
,Andrew Beck,FB,28,"6' 3""",255 lbs,6,Texas,NYJ
,Irvin Charles19,WR,28,"6' 4""",219 lbs,2,Indiana-Pennsylvania,NYJ
,Malachi Corley14,WR,23,"5' 11""",215 lbs,R,Western Kentucky,NYJ
,Xavier Gipson82,WR,24,"5' 9""",189 lbs,2,Stephen F. Austin,NYJ
,Tyler Johnson,WR,26,"6' 1""",208 lbs,5,Minnesota,NYJ
,Allen Lazard10,WR,29,"6' 5""",227 lbs,6,Iowa State,NYJ
,Dymere Miller0,WR,--,"5' 11""",184 lbs,R,Rutgers,NYJ
,Jamaal Pritchett,WR,--,"5' 8""",175 lbs,R,South Alabama,NYJ
,Josh Reynolds,WR,30,"6' 3""",192 lbs,7,Texas A&M,NYJ
,Quentin Skinner,WR,--,"6' 5""",195 lbs,R,Kansas,NYJ
,Arian Smith,WR,23,"6' 0""",185 lbs,R,Georgia,NYJ
,Brandon Smith87,WR,26,"6' 2""",220 lbs,1,Iowa,NYJ
,Garrett Wilson5,WR,24,"6' 0""",183 lbs,3,Ohio State,NYJ
,Pokey Wilson,WR,25,"6' 0""",181 lbs,R,Florida State,NYJ
,Neal Johnson46,TE,23,"6' 4""",250 lbs,R,Louisiana,NYJ
,Zack Kuntz81,TE,25,"6' 8""",251 lbs,1,Old Dominion,NYJ
,Jeremy Ruckert89,TE,24,"6' 5""",250 lbs,3,Ohio State,NYJ
,Stone Smartt84,TE,26,"6' 4""",226 lbs,3,Old Dominion,NYJ
,Mason Taylor,TE,21,"6' 5""",255 lbs,R,LSU,NYJ
,Gus Hartwig,C,--,"6' 5""",305 lbs,R,Purdue,NYJ
,Josh Myers,C,26,"6' 5""",310 lbs,4,Ohio State,NYJ
,Joe Tippmann66,C,24,"6' 6""",313 lbs,2,Wisconsin,NYJ
,Zack Bailey69,G,29,"6' 5""",299 lbs,3,South Carolina,NYJ
,Kohl Levao64,G,27,"6' 5""",324 lbs,1,Hawai'i,NYJ
,Xavier Newman65,G,25,"6' 2""",297 lbs,2,Baylor,NYJ
,John Simpson76,G,27,"6' 4""",330 lbs,5,Clemson,NYJ
,Alijah Vera-Tucker75,G,25,"6' 5""",308 lbs,4,USC,NYJ
,Leander Wiegand,G,--,"6' 5""",290 lbs,R,UCF,NYJ
,Obinna Eze68,OT,26,"6' 8""",325 lbs,1,TCU,NYJ
,Olu Fashanu74,OT,22,"6' 6""",312 lbs,R,Penn State,NYJ
,Armand Membou,OT,21,"6' 3""",314 lbs,R,Missouri,NYJ
,Max Mitchell61,OT,25,"6' 6""",307 lbs,3,Louisiana,NYJ
,Chukwuma Okorafor,OT,27,"6' 6""",320 lbs,7,Western Michigan,NYJ
,Carter Warren67,OT,26,"6' 5""",311 lbs,2,Pittsburgh,NYJ
,Jalen Hurts1,QB,26,"6' 1""",223 lbs,5,Oklahoma,PHI
,Kyle McCord,QB,22,"6' 3""",220 lbs,R,Syracuse,PHI
,Tanner McKee16,QB,25,"6' 6""",231 lbs,2,Stanford,PHI
,Dorian Thompson-Robinson,QB,25,"6' 2""",203 lbs,2,UCLA,PHI
,Saquon Barkley26,RB,28,"6' 0""",233 lbs,7,Penn State,PHI
,AJ Dillon,RB,27,"6' 0""",247 lbs,5,Boston College,PHI
,Montrell Johnson Jr.,RB,--,"5' 11""",216 lbs,R,Florida,PHI
,Lew Nichols,RB,23,"5' 10""",220 lbs,1,Central Michigan,PHI
,ShunDerrick Powell,RB,--,"5' 9""",180 lbs,R,Central Arkansas,PHI
,Will Shipley28,RB,22,"5' 11""",209 lbs,R,Clemson,PHI
,Avery Williams,RB,26,"5' 9""",195 lbs,4,Boise State,PHI
,A.J. Brown11,WR,27,"6' 1""",226 lbs,6,Ole Miss,PHI
,Elijah Cooks,WR,26,"6' 4""",215 lbs,2,San José State,PHI
,Darius Cooper6,WR,--,"6' 0""",190 lbs,4,Tarleton State,PHI
,Jahan Dotson83,WR,25,"5' 11""",184 lbs,3,Penn State,PHI
,Danny Gray41,WR,26,"6' 0""",200 lbs,3,SMU,PHI
,Giles Jackson42,WR,23,"5' 9""",187 lbs,R,Washington,PHI
,Terrace Marshall Jr.,WR,24,"6' 2""",200 lbs,4,LSU,PHI
,Taylor Morin,WR,--,"5' 11""",185 lbs,R,Wake Forest,PHI
,Ainias Smith82,WR,23,"5' 9""",176 lbs,R,Texas A&M,PHI
,DeVonta Smith6,WR,26,"6' 0""",170 lbs,4,Alabama,PHI
,Johnny Wilson89,WR,24,"6' 6""",228 lbs,R,Florida State,PHI
,Harrison Bryant,TE,27,"6' 5""",230 lbs,5,Florida Atlantic,PHI
,Grant Calcaterra81,TE,26,"6' 4""",240 lbs,3,SMU,PHI
,Dallas Goedert88,TE,30,"6' 5""",256 lbs,7,South Dakota State,PHI
,Kylen Granson,TE,27,"6' 3""",242 lbs,4,SMU,PHI
,E.J. Jenkins84,TE,26,"6' 6""",245 lbs,1,Georgia Tech,PHI
,Cameron Latu,TE,25,"6' 5""",244 lbs,2,Alabama,PHI
,Nick Muse87,TE,26,"6' 5""",252 lbs,3,South Carolina,PHI
,Cam Jurgens51,C,25,"6' 3""",303 lbs,3,Nebraska,PHI
,Drew Kendall,C,23,"6' 4""",299 lbs,R,Boston College,PHI
,Landon Dickerson69,G,26,"6' 6""",332 lbs,4,Alabama,PHI
,Kenyon Green,G,24,"6' 4""",325 lbs,3,Texas A&M,PHI
,Trevor Keegan79,G,24,"6' 5""",306 lbs,R,Michigan,PHI
,Tyler Steen56,G,24,"6' 6""",321 lbs,2,Alabama,PHI
,Le'Raven Clark73,OT,32,"6' 5""",319 lbs,8,Texas Tech,PHI
,Myles Hinton,OT,23,"6' 6""",342 lbs,R,Michigan,PHI
,Lane Johnson65,OT,35,"6' 6""",325 lbs,12,Oklahoma,PHI
,Darian Kinnard72,OT,25,"6' 5""",322 lbs,2,Kentucky,PHI
,Kendall Lamm,OT,32,"6' 5""",308 lbs,9,App State,PHI
,Jordan Mailata68,OT,28,"6' 8""",365 lbs,7,--,PHI
,Hollin Pierce,OT,--,"6' 8""",344 lbs,R,Rutgers,PHI
,Matt Pryor,OT,30,"6' 7""",332 lbs,7,TCU,PHI
,Brett Toth64,OT,28,"6' 6""",304 lbs,6,Army,PHI
,Laekin Vakalahi67,OT,22,"6' 5""",320 lbs,R,--,PHI
,Cameron Williams,OT,21,"6' 5""",335 lbs,R,Texas,PHI
,Will Howard,QB,23,"6' 4""",235 lbs,R,Ohio State,PIT
,Mason Rudolph,QB,29,"6' 5""",235 lbs,7,Oklahoma State,PIT
,Skylar Thompson,QB,27,"6' 2""",219 lbs,3,Kansas State,PIT
,Kenneth Gainwell,RB,26,"5' 9""",200 lbs,4,Memphis,PIT
,Evan Hull,RB,24,"5' 10""",209 lbs,2,Northwestern,PIT
,Max Hurleman,RB,--,"5' 11""",201 lbs,R,Notre Dame,PIT
,Kaleb Johnson,RB,21,"6' 0""",225 lbs,R,Iowa,PIT
,Cordarrelle Patterson84,RB,34,"6' 2""",220 lbs,12,Tennessee,PIT
,Trey Sermon,RB,26,"6' 0""",215 lbs,5,Ohio State,PIT
,Jonathan Ward35,RB,27,"6' 0""",202 lbs,5,Central Michigan,PIT
,Jaylen Warren30,RB,26,"5' 8""",215 lbs,3,Oklahoma State,PIT
,DJ Thomas-Jones,FB,22,"6' 2""",256 lbs,R,South Alabama,PIT
,Calvin Austin III19,WR,26,"5' 9""",162 lbs,3,Memphis,PIT
,Brandon Johnson89,WR,26,"6' 2""",195 lbs,3,UCF,PIT
,Lance McCutcheon82,WR,26,"6' 3""",202 lbs,2,Montana State,PIT
,DK Metcalf14,WR,27,"6' 4""",235 lbs,6,Ole Miss,PIT
,Scotty Miller13,WR,27,"5' 9""",174 lbs,6,Bowling Green,PIT
,Ben Skowronek15,WR,27,"6' 3""",224 lbs,4,Notre Dame,PIT
,Roc Taylor,WR,--,"6' 3""",215 lbs,R,Memphis,PIT
,Ke'Shawn Williams,WR,--,"5' 9""",189 lbs,R,Indiana,PIT
,Roman Wilson10,WR,23,"5' 10""",186 lbs,R,Michigan,PIT
,Robert Woods,WR,33,"6' 0""",193 lbs,12,USC,PIT
,Pat Freiermuth88,TE,26,"6' 5""",258 lbs,4,Penn State,PIT
,JJ Galbreath,TE,--,"6' 4""",240 lbs,R,South Dakota,PIT
,Connor Heyward83,TE,26,"6' 0""",230 lbs,3,Michigan State,PIT
,Donald Parham Jr.,TE,27,"6' 8""",237 lbs,5,Stetson,PIT
,Darnell Washington80,TE,23,"6' 7""",264 lbs,2,Georgia,PIT
,Zach Frazier54,C,23,"6' 3""",310 lbs,R,West Virginia,PIT
,Ryan McCollum62,C,27,"6' 5""",300 lbs,2,Texas A&M,PIT
,Spencer Anderson74,G,24,"6' 5""",305 lbs,2,Maryland,PIT
,Steven Jones,G,24,"6' 5""",340 lbs,R,Oregon,PIT
,Mason McCormick66,G,24,"6' 5""",315 lbs,R,South Dakota State,PIT
,Doug Nester72,G,24,"6' 6""",306 lbs,R,West Virginia,PIT
,Max Scharping64,G,28,"6' 6""",327 lbs,6,Northern Illinois,PIT
,Isaac Seumalo73,G,31,"6' 4""",303 lbs,9,Oregon State,PIT
,Lecitus Smith,G,26,"6' 3""",314 lbs,2,Virginia Tech,PIT
,Aiden Williams,G,--,"6' 6""",295 lbs,R,Minnesota Duluth,PIT
,Gareth Warren,OL,--,"6' 6""",328 lbs,R,Lindenwood,PIT
,Calvin Anderson67,OT,29,"6' 5""",300 lbs,6,Texas,PIT
,Dylan Cook60,OT,27,"6' 6""",305 lbs,2,Montana,PIT
,Troy Fautanu76,OT,24,"6' 4""",317 lbs,R,Washington,PIT
,Broderick Jones77,OT,23,"6' 5""",311 lbs,2,Georgia,PIT
,Sam Darnold14,QB,27,"6' 3""",225 lbs,7,USC,SEA
,Drew Lock,QB,28,"6' 4""",228 lbs,6,Missouri,SEA
,Jalen Milroe,QB,22,"6' 2""",225 lbs,R,Alabama,SEA
,Zach Charbonnet26,RB,24,"6' 1""",214 lbs,2,UCLA,SEA
,George Holani36,RB,25,"5' 11""",210 lbs,R,Boise State,SEA
,Damien Martinez,RB,21,"6' 0""",232 lbs,R,Miami,SEA
,Kenny McIntosh25,RB,25,"6' 0""",204 lbs,2,Georgia,SEA
,Kenneth Walker III9,RB,24,"5' 9""",211 lbs,3,Michigan State,SEA
,Jacardia Wright9,RB,--,"6' 0""",220 lbs,4,Missouri State,SEA
,Jake Bobo19,WR,26,"6' 4""",207 lbs,2,UCLA,SEA
,Tyrone Broden,WR,--,"6' 7""",200 lbs,R,Arkansas,SEA
,Montorie Foster Jr.,WR,--,"6' 0""",186 lbs,R,Michigan State,SEA
,Tory Horton,WR,22,"6' 3""",185 lbs,R,Colorado State,SEA
,Cooper Kupp10,WR,31,"6' 2""",207 lbs,8,Eastern Washington,SEA
,John Rhys Plumlee17,WR,24,"6' 0""",200 lbs,R,UCF,SEA
,Steven Sims,WR,28,"5' 10""",190 lbs,4,Kansas,SEA
,Jaxon Smith-Njigba11,WR,23,"6' 0""",197 lbs,2,Ohio State,SEA
,Marquez Valdes-Scantling,WR,30,"6' 4""",206 lbs,7,South Florida,SEA
,Cody White82,WR,26,"6' 3""",215 lbs,2,Michigan State,SEA
,Ricky White III,WR,23,"6' 1""",190 lbs,R,UNLV,SEA
,Dareke Young83,WR,25,"6' 2""",224 lbs,3,Lenoir-Rhyne,SEA
,Elijah Arroyo,TE,22,"6' 4""",245 lbs,R,Miami,SEA
,AJ Barner88,TE,23,"6' 6""",251 lbs,R,Michigan,SEA
,Noah Fant87,TE,27,"6' 4""",249 lbs,6,Iowa,SEA
,Nick Kallerup,TE,--,"6' 5""",270 lbs,R,Minnesota,SEA
,Marshall Lang88,TE,--,"6' 4""",246 lbs,4,Northwestern,SEA
,Robbie Ouzts,TE,22,"6' 4""",270 lbs,R,Alabama,SEA
,Brady Russell38,TE,26,"6' 3""",250 lbs,2,Colorado,SEA
,Eric Saubert,TE,31,"6' 5""",248 lbs,7,Drake,SEA
,Olu Oluwatimi51,C,25,"6' 3""",309 lbs,1,Michigan,SEA
,Anthony Bradford75,G,24,"6' 5""",332 lbs,2,LSU,SEA
,Christian Haynes64,G,25,"6' 2""",318 lbs,R,UConn,SEA
,Grey Zabel,G,23,"6' 6""",305 lbs,R,North Dakota State,SEA
,AJ Gillie,OL,--,"6' 2""",328 lbs,R,Louisiana,SEA
,Federico Maranges64,OL,--,"6' 4""",300 lbs,4,Florida Atlantic,SEA
,Malaesala Aumavae-Laulu,OT,25,"6' 5""",344 lbs,2,Oregon,SEA
,Bryce Cabeldue,OT,23,"6' 6""",315 lbs,R,Kansas,SEA
,Charles Cross67,OT,24,"6' 5""",311 lbs,3,Mississippi State,SEA
,Michael Jerrell65,OT,25,"6' 5""",294 lbs,R,Findlay,SEA
,Josh Jones,OT,27,"6' 5""",339 lbs,5,Houston,SEA
,Amari Kight,OT,--,"6' 7""",318 lbs,R,UCF,SEA
,Sataoa Laumea63,OT,24,"6' 4""",319 lbs,R,Utah,SEA
,Abraham Lucas72,OT,26,"6' 6""",322 lbs,3,Washington State,SEA
,Mason Richman,OT,23,"6' 6""",312 lbs,R,Iowa,SEA
,Jalen Sundell61,OT,25,"6' 5""",301 lbs,R,North Dakota State,SEA
,Mac Jones,QB,26,"6' 3""",214 lbs,4,Alabama,SFO
,Tanner Mordecai4,QB,25,"6' 2""",218 lbs,R,Wisconsin,SFO
,Brock Purdy13,QB,25,"6' 1""",220 lbs,3,Iowa State,SFO
,Kurtis Rourke,QB,24,"6' 5""",223 lbs,R,Indiana,SFO
,Israel Abanikanda47,RB,22,"5' 10""",216 lbs,2,Pittsburgh,SFO
,Isaac Guerendo31,RB,24,"6' 0""",221 lbs,R,Louisville,SFO
,Jordan James,RB,21,"5' 10""",210 lbs,R,Oregon,SFO
,Corey Kiner,RB,--,"5' 9""",210 lbs,R,Cincinnati,SFO
,Christian McCaffrey23,RB,28,"5' 11""",210 lbs,8,Stanford,SFO
,Patrick Taylor Jr.32,RB,27,"6' 2""",217 lbs,4,Memphis,SFO
,Kyle Juszczyk44,FB,34,"6' 2""",235 lbs,12,Harvard,SFO
,Brandon Aiyuk11,WR,27,"6' 0""",200 lbs,5,Arizona State,SFO
,Junior Bergen,WR,--,"5' 11""",184 lbs,R,Montana,SFO
,Jacob Cowing19,WR,24,"5' 9""",171 lbs,R,Arizona,SFO
,Russell Gage84,WR,29,"6' 0""",184 lbs,7,LSU,SFO
,Isaiah Hodgins87,WR,26,"6' 3""",200 lbs,4,Oregon State,SFO
,Jauan Jennings15,WR,27,"6' 3""",212 lbs,4,Tennessee,SFO
,Isaiah Neyor,WR,--,"6' 4""",220 lbs,R,Nebraska,SFO
,Terique Owens83,WR,25,"6' 3""",193 lbs,R,Missouri State,SFO
,Ricky Pearsall14,WR,24,"6' 3""",192 lbs,R,Florida,SFO
,Demarcus Robinson15,WR,30,"6' 1""",202 lbs,8,Florida,SFO
,Trent Taylor81,WR,31,"5' 8""",178 lbs,7,Louisiana Tech,SFO
,Jordan Watkins,WR,23,"5' 11""",200 lbs,R,Ole Miss,SFO
,Ross Dwelley,TE,30,"6' 5""",235 lbs,7,San Diego,SFO
,Luke Farrell89,TE,27,"6' 5""",250 lbs,4,Ohio State,SFO
,George Kittle85,TE,31,"6' 4""",250 lbs,8,Iowa,SFO
,Mason Pline89,TE,25,"6' 6""",254 lbs,R,Furman,SFO
,Jake Tonges88,TE,25,"6' 4""",240 lbs,2,California,SFO
,Brayden Willis9,TE,25,"6' 4""",240 lbs,2,Oklahoma,SFO
,Jake Brendel64,C,32,"6' 4""",299 lbs,8,UCLA,SFO
,Matt Hennessy75,C,27,"6' 3""",315 lbs,4,Temple,SFO
,Drake Nugent66,C,24,"6' 1""",298 lbs,R,Michigan,SFO
,Ben Bartch78,G,26,"6' 6""",315 lbs,5,Saint John's (MN),SFO
,Connor Colby,G,22,"6' 6""",310 lbs,R,Iowa,SFO
,Zack Johnson,G,28,"6' 6""",301 lbs,1,North Dakota State,SFO
,Drew Moss,G,--,"6' 4""",300 lbs,R,Colorado State,SFO
,Dominick Puni77,G,25,"6' 5""",313 lbs,R,Kansas,SFO
,Isaac Alarcon67,OT,26,"6' 7""",320 lbs,1,--,SFO
,Spencer Burford74,OT,24,"6' 4""",300 lbs,3,UTSA,SFO
,Andre Dillard,OT,29,"6' 5""",315 lbs,7,Washington State,SFO
,Sebastian Gutierrez60,OT,26,"6' 6""",310 lbs,1,Minot State Universi,SFO
,Colton McKivitz68,OT,28,"6' 6""",301 lbs,5,West Virginia,SFO
,Nicholas Petit-Frere,OT,25,"6' 5""",316 lbs,4,Ohio State,SFO
,Austen Pleasants62,OT,27,"6' 7""",328 lbs,1,Ohio,SFO
,Trent Williams71,OT,36,"6' 5""",320 lbs,15,Oklahoma,SFO
,Nick Zakelj63,OT,25,"6' 6""",316 lbs,3,Fordham,SFO
,Connor Bazelak,QB,24,"6' 3""",225 lbs,R,Miami (OH),TAM
,Baker Mayfield6,QB,30,"6' 1""",215 lbs,7,Oklahoma,TAM
,Michael Pratt11,QB,23,"6' 2""",217 lbs,R,Tulane,TAM
,Kyle Trask2,QB,27,"6' 5""",236 lbs,4,Florida,TAM
,Bucky Irving7,RB,22,"5' 10""",195 lbs,R,Oregon,TAM
,Sean Tucker44,RB,23,"5' 10""",205 lbs,2,Syracuse,TAM
,Rachaad White1,RB,26,"6' 0""",214 lbs,3,Arizona State,TAM
,D.J. Williams30,RB,25,"6' 0""",225 lbs,R,Arizona,TAM
,Josh Williams,RB,23,"5' 9""",210 lbs,R,LSU,TAM
,Emeka Egbuka,WR,22,"6' 1""",205 lbs,R,Ohio State,TAM
,Mike Evans13,WR,31,"6' 5""",231 lbs,11,Texas A&M,TAM
,Chris Godwin14,WR,29,"6' 1""",209 lbs,8,Penn State,TAM
,Garrett Greene,WR,--,"5' 11""",201 lbs,R,West Virginia,TAM
,Dennis Houston89,WR,26,"6' 1""",198 lbs,1,Western Illinois,TAM
,Rakim Jarrett18,WR,24,"6' 0""",192 lbs,2,Maryland,TAM
,Kameron Johnson19,WR,23,"5' 10""",195 lbs,R,Barton College,TAM
,Tez Johnson,WR,22,"5' 10""",165 lbs,R,Oregon,TAM
,Jalen McMillan15,WR,23,"6' 1""",192 lbs,R,Washington,TAM
,Ryan Miller81,WR,25,"6' 2""",221 lbs,1,Furman,TAM
,Trey Palmer10,WR,24,"6' 1""",190 lbs,2,Nebraska,TAM
,Sterling Shepard17,WR,32,"5' 10""",194 lbs,9,Oklahoma,TAM
,Devin Culp82,TE,25,"6' 4""",237 lbs,R,Washington,TAM
,Payne Durham87,TE,24,"6' 5""",255 lbs,2,Purdue,TAM
,Ko Kieft41,TE,27,"6' 5""",265 lbs,3,Minnesota,TAM
,Cade Otton88,TE,26,"6' 5""",247 lbs,3,Washington,TAM
,Tanner Taula84,TE,26,"6' 6""",255 lbs,1,Illinois State,TAM
,Graham Barton62,C,22,"6' 5""",314 lbs,R,Duke,TAM
,Ben Bredeson68,G,27,"6' 5""",315 lbs,5,Michigan,TAM
,Elijah Klein79,G,25,"6' 4""",319 lbs,R,UTEP,TAM
,Cody Mauch69,G,26,"6' 6""",303 lbs,2,North Dakota State,TAM
,Sua Opeta76,G,28,"6' 4""",305 lbs,5,Weber State,TAM
,Ben Chukwuma,OL,--,"6' 6""",310 lbs,R,Georgia State,TAM
,Jake Majors,OL,--,"6' 3""",315 lbs,R,Texas,TAM
,Ben Scott,OL,--,"6' 5""",310 lbs,R,Nebraska,TAM
,Silas Dzansi61,OT,26,"6' 5""",335 lbs,1,Virginia Tech,TAM
,Luke Goedeke67,OT,26,"6' 5""",312 lbs,3,Central Michigan,TAM
,Garret Greenfield74,OT,25,"6' 7""",320 lbs,R,South Dakota State,TAM
,Luke Haggard72,OT,25,"6' 7""",305 lbs,1,Indiana,TAM
,Charlie Heck61,OT,28,"6' 8""",311 lbs,5,North Carolina,TAM
,Lorenz Metz71,OT,28,"6' 9""",310 lbs,R,Cincinnati,TAM
,Raiqwon O'Neal75,OT,25,"6' 4""",305 lbs,2,UCLA,TAM
,Tristan Wirfs78,OT,26,"6' 5""",320 lbs,5,Iowa,TAM
,Brandon Allen,QB,32,"6' 2""",209 lbs,8,Arkansas,TEN
,Tim Boyle,QB,30,"6' 4""",232 lbs,6,Eastern Kentucky,TEN
,Will Levis8,QB,25,"6' 4""",229 lbs,2,Kentucky,TEN
,Cam Ward1,QB,22,"6' 2""",223 lbs,R,Miami,TEN
,Micah Bernard,RB,--,"6' 0""",206 lbs,R,Utah,TEN
,Julius Chestnut36,RB,24,"5' 11""",228 lbs,3,Sacred Heart,TEN
,Kalel Mullings,RB,22,"6' 2""",233 lbs,R,Michigan,TEN
,Tony Pollard20,RB,28,"6' 0""",215 lbs,6,Memphis,TEN
,Jabari Small31,RB,24,"5' 9""",198 lbs,R,Tennessee,TEN
,Tyjae Spears2,RB,23,"5' 11""",195 lbs,2,Tulane,TEN
,Elic Ayomanor,WR,21,"6' 2""",210 lbs,R,Stanford,TEN
,Treylon Burks16,WR,25,"6' 2""",225 lbs,3,Arkansas,TEN
,Chimere Dike,WR,22,"6' 0""",195 lbs,R,Florida,TEN
,Colton Dowell14,WR,26,"6' 3""",212 lbs,2,UT Martin,TEN
,Jha'Quan Jackson19,WR,24,"5' 9""",188 lbs,R,Tulane,TEN
,Van Jefferson,WR,28,"6' 1""",200 lbs,5,Florida,TEN
,Mason Kinsey12,WR,26,"5' 11""",200 lbs,2,Berry College,TEN
,Tyler Lockett,WR,32,"5' 10""",182 lbs,11,Kansas State,TEN
,Bryce Oliver80,WR,24,"6' 1""",214 lbs,R,Youngstown State,TEN
,James Proche II,WR,28,"5' 11""",193 lbs,5,SMU,TEN
,Xavier Restrepo,WR,23,"5' 10""",198 lbs,R,Miami,TEN
,Calvin Ridley0,WR,30,"6' 1""",190 lbs,6,Alabama,TEN
,TJ Sheffield,WR,--,"5' 10""",190 lbs,R,UConn,TEN
,Gunnar Helm,TE,22,"6' 5""",250 lbs,R,Texas,TEN
,David Martin-Robinson88,TE,25,"6' 3""",247 lbs,R,Temple,TEN
,Thomas Odukoya89,TE,28,"6' 6""",253 lbs,1,Eastern Michigan,TEN
,Chig Okonkwo85,TE,25,"6' 3""",238 lbs,3,Maryland,TEN
,Josh Whyle81,TE,25,"6' 7""",248 lbs,2,Cincinnati,TEN
,Lloyd Cushenberry III79,C,27,"6' 4""",315 lbs,5,LSU,TEN
,Corey Levin62,C,30,"6' 4""",307 lbs,6,Chattanooga,TEN
,Sam Mustipher,C,28,"6' 3""",306 lbs,5,Notre Dame,TEN
,Blake Hance,G,29,"6' 5""",310 lbs,4,Northwestern,TEN
,Brenden Jaimes,G,25,"6' 5""",300 lbs,4,Nebraska,TEN
,Jackson Slater,G,--,"6' 4""",316 lbs,R,Sacramento State,TEN
,Kevin Zeitler,G,35,"6' 4""",340 lbs,13,Wisconsin,TEN
,Kaden Moore,OL,--,"6' 3""",310 lbs,R,Virginia Tech,TEN
,Chandler Brewer67,OT,27,"6' 6""",320 lbs,4,Middle Tennessee,TEN
,Brandon Crenshaw-Dickson,OT,24,"6' 7""",322 lbs,R,Florida,TEN
,Jaelyn Duncan71,OT,24,"6' 6""",306 lbs,2,Maryland,TEN
,JC Latham55,OT,22,"6' 6""",342 lbs,R,Alabama,TEN
,Dan Moore Jr.65,OT,26,"6' 5""",315 lbs,4,Texas A&M,TEN
,John Ojukwu61,OT,26,"6' 5""",309 lbs,1,Boise State,TEN
,Andrew Rupcich76,OT,26,"6' 6""",318 lbs,1,Culver-Stockton College,TEN
,Peter Skoronski77,OT,23,"6' 4""",313 lbs,2,Northwestern,TEN
,Olisaemeka Udoh,OT,28,"6' 6""",320 lbs,6,Elon,TEN
,Jayden Daniels5,QB,24,"6' 4""",210 lbs,R,LSU,WAS
,Sam Hartman15,QB,25,"6' 1""",209 lbs,R,Notre Dame,WAS
,Josh Johnson,QB,38,"6' 3""",214 lbs,10,San Diego,WAS
,Marcus Mariota18,QB,31,"6' 4""",222 lbs,10,Oregon,WAS
,Collin Schlee,QB,--,"6' 3""",225 lbs,R,Virginia Tech,WAS
,Kazmeir Allen31,RB,25,"5' 8""",176 lbs,1,UCLA,WAS
,Jacory Croskey-Merritt,RB,24,"5' 11""",208 lbs,R,Arizona,WAS
,Austin Ekeler30,RB,29,"5' 9""",200 lbs,8,Western Colorado,WAS
,Demetric Felton,RB,26,"5' 9""",190 lbs,3,UCLA,WAS
,Jeremy McNichols26,RB,29,"5' 9""",214 lbs,7,Boise State,WAS
,Brian Robinson Jr.8,RB,26,"6' 1""",228 lbs,3,Alabama,WAS
,Chris Rodriguez Jr.36,RB,25,"5' 11""",224 lbs,2,Kentucky,WAS
,Michael Wiley34,RB,23,"5' 10""",209 lbs,R,Arizona,WAS
,Ja'Corey Brooks,WR,--,"6' 3""",195 lbs,R,Louisville,WAS
,Noah Brown85,WR,29,"6' 2""",225 lbs,8,Ohio State,WAS
,Michael Gallup,WR,29,"6' 1""",205 lbs,7,Colorado State,WAS
,Jacoby Jones,WR,--,"6' 3""",228 lbs,R,UCF,WAS
,Jaylin Lane,WR,23,"5' 10""",196 lbs,R,Virginia Tech,WAS
,Luke McCaffrey12,WR,24,"6' 2""",198 lbs,R,Rice,WAS
,Terry McLaurin17,WR,29,"6' 0""",210 lbs,6,Ohio State,WAS
,Chris Moore19,WR,31,"6' 1""",200 lbs,9,Cincinnati,WAS
,K.J. Osborn13,WR,27,"5' 11""",203 lbs,5,Miami,WAS
,Deebo Samuel Sr.1,WR,29,"6' 0""",215 lbs,6,South Carolina,WAS
,Mike Strachan83,WR,27,"6' 5""",225 lbs,4,Charleston (WV),WAS
,John Bates87,TE,27,"6' 6""",259 lbs,4,Boise State,WAS
,Lawrence Cager,TE,27,"6' 5""",220 lbs,4,Georgia,WAS
,Zach Ertz86,TE,34,"6' 5""",250 lbs,12,Stanford,WAS
,Tyree Jackson83,TE,27,"6' 7""",249 lbs,3,Buffalo,WAS
,Ben Sinnott82,TE,22,"6' 4""",247 lbs,R,Kansas State,WAS
,Cole Turner88,TE,25,"6' 6""",240 lbs,3,Nevada,WAS
,Colson Yankoff41,TE,25,"6' 4""",225 lbs,R,UCLA,WAS
,Tyler Biadasz63,C,27,"6' 4""",318 lbs,5,Wisconsin,WAS
,Nick Allegretti67,G,29,"6' 4""",320 lbs,6,Illinois,WAS
,Sam Cosmi76,G,26,"6' 6""",309 lbs,4,Texas,WAS
,Michael Deiter60,G,28,"6' 6""",310 lbs,6,Wisconsin,WAS
